,userName,score,at,content
765,Lia Pangaribuan,4,2021-02-27 06:00:31,"1 bln terakhir ini kalo buka netflix sering ""maaf kami tdk dapat menjangkau layanan netflix. Coba lg nanti (-1023)"" Semenjak upgrade ke android 11 buka netflix sering begini. Sy pakai 2 sim, kadang2 paket data harus coba gantian2 br bisa buka..kadang2 hp hrs direstart dulu baru bs dibuka.. tolong donk netflix ini knp bisa seperti ini, sy jd kurang nyaman kalau begini terus.. terimakasih"
766,Akbar Apriantony,1,2021-02-26 07:14:39,Tolong di tambah metode pembayaran nya karena gak semua orang indonesia punya kartu kredit. Misal nya di tambag metode pembayaran dengan pulsa pasti banyak orang yang mendownload ny terutama di indonesia.
767,Xcaris,2,2021-02-23 23:33:31,"Kan Netflix sudah masuk Indonesia, tapi kok kayak anime overlord belom ada subtitle Indonesia nya mohon untuk pembuat aplikasi Netflix, untuk memberikan subtitle Indonesia pada beberapa film atau pun series yang tidak memiliki subtitle Indonesia seperti overlord, mohon di baca, terimakasih"
768,Abal Abal,5,2021-02-23 13:57:13,"Aplikasi nonton paling oke. Udh langganan dr lama tp skrg lg berhenti krn sibuk. Greget sama yg blg kenapa musti bayar dulu sih? Ya karena konten netflix bagus2 BANGET, sepadan lah sama harganya. Mau gratisan? Haduh. Cape deh. Terus yg sambat gapunya cc/debit, gampang lah itu di twitter/shopee banyak yg jual sharing account, hitungannya lebih murah malah. Semua kalangan bisa ko akses netflix bukan cuman kalangan atas. Coba kreatif dikit."
769,Christian Budiman,5,2021-02-23 05:08:11,"Bagi yang kesulitan dalam penggunaan kartu kredit lebih baik menggunakan e commerce untuk membeli paket nya, karena secara biaya yang lebih murah dan mudah, klo secara biaya memang netflix mahal tp menjual film series yang sangat berkualitas juga"
770,X_6_Faqih Abqari Sutopo,2,2021-02-22 10:13:41,"Saya mau bikinkan adek saya akun Netflix lalu memasukkan data kartu debit, tapi tetap tidak bisa , saya sarankan untuk permudah sistem pembayaran seperti lewat Transfer langsung, atau pakai pulsa, saya tidak tahu ada kesalahan apa dengan data kartu nya, saya sudah cek berkali-kali tetap tidak bisa lanjut, mohon diperbaiki"
771,pranovsky oktaryan,3,2021-02-22 05:50:42,"Iyah bos netflix, orang mau pakai kartu kredit belum tentu org punya. Coba cara lain untuk pembayaran. Agak susah kalau yg tidak punya kartu credit. Ini berapa kali gw download terus hapus, kirain sudah berubah pembayarannya bintang gw kasih 3. Karna sistem pemabayan msh kartu credit."
772,Hanina Talitha Yumna,2,2021-02-21 10:34:38,"Semuanya bagus kok, tapi alangkah baiknya jika ditambah pembayaramya, misal di indomaret, alfamaret misalnya, atau transfer rekening or something like that..ngga semua orang juga punya kredit dan debit. Kenapa seolah olah aplikasi netflix untuk kalangan atas ya? Saya yakin kalau ditambah pembayaranya, orang indonesia juga pada butuh kok,semoga dilihat pesan saya ya, mohon maaf.."
773,Ningsih Indri hrp,4,2021-02-19 10:14:36,Tolong dong untuk netflix tambahkan metode pembayaran lewat INDOMARET/ALFAMART/OVO atau yg lainnya. Tidak semua orang memiliki kartu kredit dan debit berlogo seperti yg kalian minta. Semoga dipertimbangkan oleh pihak Netflix
774,febryan,3,2021-02-14 12:29:55,"Harusnya metode pembayaran bisa di permudah lagi, kenapa gk langsung ke bank? Atau uang digital misalnya paypal,ovo, dana atau gopay. Yg kayak² gini nih yg bikin minat² dan pemikiran bajakan nambah banyak di indo, metode pembayarannya aja terlalu dibatasi. Min, orang yg kerja kantoran atau punya perusahaan kecil²an aja belom tentu punya yg namanya kartu kredit atau kartu debit, agak ribet juga penggunaannya menurut saya dan nanggung banget kenapa gk langsung mobile banking?nggak semua indo dapet"
775,Bintang Mas Pahlawan,1,2021-02-12 19:42:06,"Tolong yaa untuk pihak netflix untuk memberikan subtitle indonesia rata semua series/film. Tolong untuk lebih teliti, bukan cuman orang luar negeri yang menonton film/series, tapi warga Indonesia juga. Dan lagi gak semua orang Indonesia bisa bhs inggris. disini kami berlangganan, bukan gratis!!!"
776,irfan muslim,1,2021-02-12 02:38:58,Tidak bisa mendapatkan kualitas diatas FHD hanya karena perangkat belum certified netflix??? Kompabilitas Aplikasi Netflix ini sangat buruk terhadap Device seperti STB dan perangkat lainnya. Tidak seperti pesaingnya si Disney Hotstar ataupun amazon prime. Dan juga terbatasnya pembayaran langganan hanya menggunakan kartu kredit.
777,Putri Gina Arista,1,2021-02-11 23:09:30,"Terlalu sulit utk syarat pembayaran atau registrasi. Tolong dipertimbangkan ulang mengenai opsi pembayaran registrasi. Karena sayang sekali, banyak film yg berkualitas bagus, tapi tdk semua org bs menikmati karya nya,hanya karena kesulitan paada saat registrasi. terima kasih."
778,Kuproy,4,2021-02-11 18:48:37,"Buat yg ingin daftar atau nonton, saya sarankan untuk membeli paket netflix di BL atau Toped, lebih murah dari harga yang Netflix tawarkan untuk anda, karena dengan memakai akun premium, kita bisa akses dengan banyak akun, kurang lebih seperti kita patungan dengan teman, dengan membeli paket premium, jadi bisa berbagi akses netflix premium"
779,Irfand Dhe,5,2021-02-11 10:43:10,"Saran aja, untuk meningkatkan jumlah pelanggan, alangkah baiknya metode pembayarannya ditambah, bank transfer misalnya. Karna tidak semua orang punya kartu KREDIT, bahkan orang yang sudah bekerja pun belum tentu punya kartu KREDIT. Dan untuk kartu DEBIT mungkin banyak orang yang punya, tapi kembali lagi bahwa tidak semua kartu DEBIT yang mereka punya berlogo VISA, MASTERCARD ataupun AMERICAN EXPRESS. Jika metode pembayaran seperti itu seolah NETFLIX hanya di peruntukkan untuk kalangan atas saja."
780,Ruff Muh17,1,2021-02-10 17:05:01,"Aplikasi payah ga merakyat , cuma buat kalangan atas , dia kira semua orang indo punya kartu debit atau kredit, cobalah kalo emang mau jadi aplikasi film berbayar terbaik , coba luasin dikit cara berfikirnya untuk pembayarannya , payah kecewa !!!!!!"
781,Siska Anggraeny,4,2021-02-06 17:48:42,Tolong dong untuk metode pembayaran nya yang lebih mudah misal dengan sistem trfer via virtual account atau pakai pulsa data. Kmren sudah coba masukkan data no. Kartu debit tapi tidak bisa pembayaran. Mohon dipermudah lagi ya
782,Rizky H. Pratama,3,2021-02-05 10:49:33,"Sebenarnya ini bagus. Cuma knapa metode pembayarannya harus lewat debit dan kredit? Kan ngeluh jadinya. Bisa kali yang lebih praktis cth GoPay OVO DANA LinkAja.... Jangan bikin kecewakan penikmat film2 mu ini!! 😭😭😭😭 Kali ini bintang 2,5 karena ga bisa jd bintang 3 aja..."
783,Rama Putra,1,2021-01-29 09:38:59,"Tolong untun pihak Netflix, metode pembayaranya jangan hanya menggunakan kartu kredit/debit, karena tidak semua orang memilki kartu tersebut. Tolong adakan via pembayaran E-Wallet atau via pulsa agar orang orang yang tidak mempunyai kartu kredit/debit bisa berlangganan dengan mudah"
784,Ahmad Alwy,1,2021-01-28 16:19:43,"Pihak netflix indonesia. Tolonglah utk mempertimbangkan opsi yg lain selain pakai kartu kredit karena orang indonesia kebanyakan tdk mempunyai, gantilah dg selain itu misal nya voucher/ pulsa, saya yakin orang indonesia banyak membutuhkan cara spt itu. Mohon utk di pertmbangkan...trimakasih."
785,Bunda Shafiya,1,2021-01-28 07:02:07,"Netflix berbayar, mahal menurut saya. Tapi subtitle film kurang beragam. Bahkan di film lama sekalipun. Please, subtitel harus lebih beragam lah. Terutama bahasa indonesia. Jangan kalah sama aplikasi gratisan"
786,fathmah Hanum,1,2021-01-28 02:29:35,"Saya coba beberapa kali masuk dan udah masukkan nomor kartu juga, tapi tetap gak bisa, eror teruss, padahal niat ati baik, pengen nonton yang legal, biar gak merugikan perfilm.an, tapi apa? Kita disusahkan ama metode pembayaran, pendaftaran dan lain sebagainya, tolong tingkatkan kualitasnya, bagus2 banget padahal film nya, kan sayang banyak yang gak jadi berlangganan cuma gara2 pendaftaran ribet dan metode pembayaran nya."
787,Solihin Solihin,2,2021-01-27 07:45:43,"Diremot saya ada netflix. di smarphone saya juga ada aplikasi netfix,cuma sayang,daftar pembayaran nya harus pake kartu kredit,jadi ga bisa nonton deh,tolong di perbaharui,agar bisa bayar lewat ovo gopey atau biar bisa semua nonton netflix,"
788,05_Aura Zahru ST,1,2021-01-24 05:39:50,"Ga banget sih yang bisa akses cuma yang punya kartu kredit sama debit dikira semua orang punya apa apalagi yang masih remaja kek saya,ayodong Netflix perbarui lagi paling gak ada akses pembayaran lain kayak via pulsa,bayar Indomaret/Alfamart gitu bete bgt mau nonton jadi gabisa."
789,Kiiyvnix,5,2021-01-18 00:19:56,Untuk pihak Developer aplikasi dan daftar film nya sudah bagus dan saya sangat menikmati tayangan yang ada hanya saja mungkin anda bisa mempertimbangkan adanya opsi kualitas pemutaran video agar lebih memudahkan penonton ketika ingin mengubah resolusi video.. Terima kasih
790,Ade Tri Kurniawan,1,2021-01-17 15:27:44,"apakah aplikasi ini hnya untuk yang memiliki kartu kredit/debit?? saya sarankan tambahkan fitur metode pembayaran yg lainya misalnya via pulsa, playstore, ovo, gopay, trnsfr via bank, indomart/alfamart dll.. bertujuan untuk mempermudah pembayaran agar semua dapat melakukan pembayaran tidak cuma yg memiliki kartu kredit/debit"
791,Malika Azhra,1,2021-01-17 02:10:49,"Aplikasi yang menyulitkan, belum apa-apa udah disuruh berlangganan. Minimal kan bisa lihat-lihat dlu sblm memutuskan berlangganan premium ataupun yg standar 😑"
792,Aisyah farr,1,2021-01-12 06:38:12,"sebagai masukan yah :) karna kebanyakan anak remaja indo suka nonton film / kdrama pasti Netflix juga jadi salah satu aplikasi sasaran para remaja tapiii susah nya di apk Netflix pembayaran nya susah coba kalau bisa pakai Ovo , pulsa dll jangan pakai ATM . sama juga daftar nya susah bgt sampe berkali"" ganti akun , bikin akun baru ehh tetep aja ga bisa :' semoga dibaca yahhh masukan nya . bintang 1 dulu nanti kalo udah di perbaiki kasih bintang lebih"
793,Daigo Dojima,5,2021-01-06 08:32:01,Udah cukup enak sih Cuman tentang resolusi dari Film atau anime nya kurang bagus di awal-awal padahal jaringan bagus dan aku udah setting resolusi nonton nya jadi tinggi agak mengecewakan sedikit karena baru pertama kali Langganan Netflix
794,Gressela Ibel,1,2021-01-05 01:57:30,"Pertama yang aku anehkan adalah app nya gak bisa masuk. Udh coba download ulang ulang juga tetep gak bisa. Waktu itu kira hp yang bermasalah, jadi coba make hp ortu yang jenis baru tapi tetep sama aja. Jaringan ya padahal wifi bagus bagus aja lancar malah tapi kenapa mau masuk aja gak bisa tulisan nya netflix netflix aja melulu"
795,Curahan Lambung Suami,2,2021-01-04 06:09:42,"Pls dong, metode pembayaran ganti, jangn visa atau debit, klo kek gtu caranya anak,remaja+ ga bisa make. Iya, tau klo hrs bayar, tp kan klo ovo pulsa gopay dll kan bikin lebih universal, bisa dipake semua pihak. Ada film yg saya mau tonton tp bioskop tutup, ga semua app kek disnep hotstar itu ga ada, masa hrs cari website ilegal buat dpt film bajakan"
796,Wayan Danayasa,5,2021-01-04 02:16:52,"Saya penggemar anime cukup kesulitan mencari aplikasi/web yang menyediakan anime yang takarir(subtlitle) Indonesia yang legal , Dengan adanya Netflix saya jadi bisa menonton anime yang legal walaupun ada beberapa anime yang belum tersedia , saya yakin kedepannya akan lengkap anime. Harga langganannya juga cukup murah meriah. Permasalahannya saya sering loading jika memakai IP jaringan Indonesia, apa ada pembatasan bandwidth/ banyak pengguna.jadi saya harus mendownload terlebih dahulu agar lancar"
797,myselfrnt,2,2020-12-30 11:25:13,"Ayo lah Netflix setidaknya ada metode pembayaran melalui pulsa, lewat google play gitu. Masa cuma kartu Mastercard/Visa. Aplikasi lain saja bisa. Pelit banget gimana mau menambah pengguna coba kan tidak semua orang punya kartu itu."
798,kepin hln,3,2020-12-27 01:14:37,"Sebenarnya kalo diliat-liat netflix ini bagus, cuma ada yang kurang, yang kurang adalah metode pembayarannya, pembayarannya cuma sebatas kredit,debit, dan smartfren, selain itu gaada, tapi di forum bantuan ada tulisan ""ganti metode pembayaran"", tapi pas saya klik diantarkan ke web netflix dan harus langganan lagi, saya yang mau berlangganan pun jadi bingung, jadi tolong netflix semoga ada metode pembayaran selain yang tersedia, misal gopay,dll. Terimakasih"
799,oki prasetyo,1,2020-12-25 15:33:47,"Tolong diperbaiki dong, masa mau nonton loadingnya lama banget. Udah coba pake data telkomsel masih ga bisa, pindah ke wifi juga ga bisa. Padahal nonton youtube lancar aja yg resolusi 720p. TOLONG DIPERTIKAN...!!!"
800,M Hasan Basri,1,2020-12-24 01:05:54,Waduh jadi pengalaman instal aplikasi ini. Belum juga di coba udah disuruh berlangganan. Coba kasih gratisan dulu 3 hari. Jika menarik otomatis orang akan berlangganan. Jujur kalo begini ceritanya berarti berlangganan netflix ini Double biaya.. 1. Biaya Kuota internet (XL Telkomsel dll) 2. Biaya Langganan Aplikasi itu sendiri 3. Masih jadi pertimbangan... Sepertinya agak dominan Masih pilih Video atau iflix..
801,Bil FUNtasy,2,2020-12-22 15:21:30,"Kenapa buka netflix keterangannya tidak dapat dijangkau, sinyal tidak ada masalah, sudah di uninstall dan di install ulang keterangan tidak berubah...ada apa bisa dibantu developer"
802,Jhon Paul David,1,2020-12-19 14:03:12,"""Maaf kami tidak dapat menjangkau layanan Netflix. Coba lagi nanti(-1023)"" Ini bisa dijelasin kenapa? Gini terus. Di uninstall, udh bae tuh.. Ga lama muncul lg msg box kek gitu. Dan ga bs di buka netflixnya. Hp Redmi 9pro 6/64"
803,Aristya Hartanto,1,2020-12-17 17:28:02,"KENDALA BUKA APLIKASI NETFLIX : - Device Redmi Note 8 Pro - Sudah restart device - Sudah uninstall / install (re-install Netflix Apps) - Koneksi internet menggunakan Telkomsel untuk browsing dan nonton film 4K di Youtube dan aplikasi lain lancar - Namun saat buka aplikasi Netflix muncul keterangan ERROR seperti ini : ""Maaf kami tidak dapat menjangkau layanan Netflix. Coba lagi nanti. (-1001)"". Mohon bantuannya, jika kendala tidak teratasi segera maka akan saya laporkan ke YLKI. Terima kasih!!"
804,Nurjanah,3,2020-12-17 06:10:49,"baru mau nyoba netflix tapi daftar ajj udh di anuin buat pembayaran, oke"" ajj sih sebenernya tp tolong metode payment nya ditambahin lg kya bayar di alfa/indomaret. karna mungkin bkn cm saya yg blm punya kartu kredit/debit. jd mohon buat di tambahin lg ya. tq"
805,Raffi Muzakki,5,2020-12-15 13:59:11,"Film nya bagus2 semua dahh..anime jg hampir lengkap...cuman saya mohon untuk di update metode pembayaran bisa pakai pulsa/Indomaret dan Alfamart...biar metode ny lebih gampang,ga semua org punya kartu debit dan kredit..dan masalah kualitas video...soal ny ga bisa di atur manual ..otomatis keganti terus...mohon untuk sediakan opsi kualitas video secara manual dari 144p - 4k,yg terakhir Maslaah harga...tolong sediain buat 1 profil aja tp kualitas sama kayak 186rb, gapapa ga dapet 5 profile"
806,yudi cahyono,3,2020-12-10 12:55:31,"kenapa sih gak disediain pengaturan buat bikin kualitas streamingnya jadi statis kyk app streaming lain?? ganggu banget klo ganti2 sendiri. pengen nonton hd terus jd gabisa suka turun2 sdr, padahal internet juga stabil. udh gt kadang app nya crash, ga nyimpen sampe menit keberapa terakhir kali nonton. tambahin dong, jgn cuman buat yg didownload aja yg bs atur kualitas gambar, ga semua org suka nonton yg hrs didownload dulu."
807,Rifki Abizar,3,2020-12-06 08:46:51,Beri bintang 3 dulu ya memang saya akui Netflix ini adalah aplikasi streaming film terbaik yang ada di hp namun sayang mitode berlangganan di Netflix ini agak susah yaitu harus pakai kartu kredit dan debit jadi susah bagi orang yang mau nonton film di sini namun tidak mempunyai ke dua kartu itu tolong dong Netflix ubah mitode pembayaran nya yang tadi pakai kartu menjadi pakai pulsa aja biar orang orang bisa berlangganan di sini dengan cara yang paling mudah dan tidak Ribet 🙏
808,Yunie Chandra Wardhani,4,2020-12-05 12:09:37,"After ngutak atik aplikasi bayar.. Eh bisa.. Jadilah nonton serial terus😅 maap ya kmrn dikasih bintang jelek, ni sdh diedit kok ulasannya.. Nunggu witcher season 2, some advice for developer, mungkin bisa di tambah metode bayarnya.. Sdh banyak lo yg nyaranin"
809,RIonosuke xixixix,1,2020-12-04 09:00:48,"""Mohon di pihak Netflix untuk adakan metode pembayaran nya yg mudah. Soalnya saya mau berlangganan tapi gak ada kartu debit. Tolong adakan metode pembayaran seperti Alfamart atau Indomaret agar kita semua bisa menikmati film film yg kita sukai. Seperti anime atau film perang action atau lainnya. Mohon sebesar besarnya ini permintaan mungkin bukan cuman saya tapi banyak yg lain lain juga Pasti ingin meotde pembayaran itu di mudahkan. Tolong adakan 🙏🙏🙏🙏"""
810,folklore : this is me trying,1,2020-12-03 04:50:03,"maaf developer, untuk redmi note 9 gak bisa dibuka aplikasinya, setiap baru buka aplikasinya ada keterangan eror, sepertinya belum kompatibel untuk device yang saya pakai ini, udah berkali2 instal ulang aplikasi netflix tetap saja setiap baru buka gak ada tampilan apa-apa blank hitam dan tulisan error. makasih semoga segera diperbaiki"
811,Adam arazu,1,2020-12-01 17:26:42,"Saya memberi satu bintang karene aplikasi netflix ga mau di bukan, setiap saya membuka aplikasi nya selalu timbul ""maaf kami tidak bisa menjangkau layanan netflix, coba lagi nanti (-1001), itu kenapa yaa?"
812,Lutfi Anshori,3,2020-12-01 07:42:40,"Masa bayar nya cuma bisa pake Kartu Kredit/Debit ribet banget, cuma mau nonton ribetnya minta ampun. Mohon ditambah lagi metode pembayaran nya via Go-pay, Dana, pulsa, alfamart, dan indomaret biar lebih mudah."
813,ItsMeGhudza,4,2020-11-30 15:26:30,Aplikasi ini udah bagus untuk tempat nonton video dan film-film tapi kadang kadang kontras nya tiba tiba turun dan jadi gelap sekali gak tau itu bug aplikasi atau memang videonya gelap tapi itu asli ganggu banget
814,Alif Ilham Fauzan,2,2020-11-30 03:29:28,"Aplikasinya bagus, filmnya termasuk lengkap meskipun beberapa anime belum ada yang lengkap. Tapi alangkah baiknya jika pembayarannya di permurah atau gak di gratiskan xixixixi -merasa gratis"
815,Dwi Nafis,4,2020-11-29 13:36:34,"Min mau tanya sii,,kok saya setiap mau nonton selalu cuman ada suara aja ya gk bisa liat flmnya berasa kaya denger radio,,,terus kalo saya kembali ke layar menu posisi film masih di setel baru muncul gambar itu juga beground latar film aja itu kenapa ya min🙏🙏 Tolong respon ya min atau ada yg bisa saya hubungi nantinya"
816,Ade usw,3,2020-11-29 12:56:42,"Biasa pembayaran pakai jenius, skrng pembayaran nya gagal, katanya harus tanya ke bank nya dulu. Mau nonton bayar aja ribet amat. Lama2 jadi team download gratisan juga nih. Alangkah lebih baik lagi kalau metode pembayaran nya dipermudah. Ditambah lah pilihan metode pembayaran nya. Ada orang2 yg ga bisa dan ga mau pake cc."
817,Music Fals,1,2020-11-28 10:12:19,"Netflix kanyanya gamau duit , saya mau daftar sudah masuk terus ikuti pendaftaran 3 langkah pas langkah 3 mau bayar eh pakai debit dan CC , hmm padahal kalo dibuat via pembayaran lainnya pasti dan mudah diakses pasti pada betah langganan eh tapi ini jadi malas dan ribet , mending unistal ga jadi langganan."
818,Jefri Yanto321,2,2020-11-23 18:37:47,"Kenapa metode pembayaran hanya dengan kartu debit dan cc.. kenapa tidak dipermudah dengan metode pembayaran pulsa jg... Teman saya pada mengeluh karna ada yg gak punya kartu debit ataupun cc.... Gak semua orang berduit cuy... Tolong respon nya yg cepat.. agar tidak hanya orang"" berduit banyak yg bisa nonton lewat ponsel.... Terimakasih cuy..."
819,Pratiwi W,4,2020-11-21 09:03:02,"sebenarnya sudah bagus, tapi alangkah baiknya untuk metode pembayaran dipermudah lagi, karena tidak semua orang punya cc.. mungkin bisa pakai google card/pulsa/transfer bank.. dan lagi ini region lock ya? jadi ga begitu lengkap menurut saya."
820,Eviendo Hariyanto,2,2020-11-16 08:09:48,"Bintang 2 karena opsi pembayaran tidak fleksibel, opsinya hanya ada CC sama Debit, playstore sudah ada GPay, kenapa tidak kasih opsi itu juga? Terus terang opsi pembayaran Netflix ini yg jadi pencegah utama saya untuk registrasi di Netflix dari dulu. Dah ah, bye dulu ya, sekalian hapus aplikasinya, mending install VIU atau iQiyi yg lebih fleksibel sama konsumen Indonesia"
821,Syifa Ramadhani,2,2020-11-14 15:57:52,"Banyak film yang nggak tersedia di Netflix, season-season juga kadang ga lengkap, yang harusnya 5 season cuma ditampilkan 2 doang. Film nya juga kebanyakan outdated.Kadang saya juga tidak menemukan film yang saya cari padahal sebelumnya ada, saya jadi merasa agak rugi membayar 54k per-bulan"
822,Bayu Bye,1,2020-11-12 03:49:29,"Mohon maaf untuk pembayaran nya terbilang sangat susah bagi yang tidak mempunyai kartu kredit ataupun kartu debit, andaikan bayar pakai apa saja seperti Dana, Gopay, Ovo, dll. Bahkan pembayaran pakai Pulsa pun tidak masalah. Itu saja masalah yang terjadi untuk saya & teman² lainnya, Sekian Terima Kasih!"
823,Wahyu JetSonic,5,2020-11-11 06:22:29,"Tolong untuk kualitas nya di hd in lagi supaya enak,tapi saya suka Netflix karena bisa streaming Netflix original,tapi untuk harga tolonglah di kurangi dikit untuk akses premium, karena itu gak sesuai harga nya."
824,Regina Regina,1,2020-11-03 12:45:42,Maaf ya sebenarnya aku rasa ini aplikasi bagus. Tapi kenapa harus pas masuk harus pake kartu kredit. Gak semua orang kan punya kartu kredit. Tolong dong diperbaiki saya harap bisa masuk tanpa kartu kredit. Nanti kalo sudah diperbaiki saya akan instal aplikasi ini lagi dan akan saya tambahin bintangnya.Itu aja sekian dari saya.
825,Nur Fitry,3,2020-10-23 08:50:19,"Kenapa tv series yg sedang saya tonton ""the vampire diaries"" di hapus dari netflix? Netflix padahal menjadi apk tempat nonton terbaik di antara yang lain, tapi kecewa karena film yg tadinya ada bisa sampai di hapus seperti itu. Padahal udh berbayar"
826,Chika Fujiwara,4,2020-10-19 03:10:36,Saya menilai aplikasi ini cukup bagus tapi filmnya / acara tv nya beberapa tdk lengkap..... jadi saya mohon kepada pihak netflix untuk melengkapi film / acara tv yang tidak lengkap.... terimakasih
827,Rivai Akbar Effendy,1,2020-10-11 14:53:21,Kenapa selalu susah untuk diputar vidionya. Saya udah ubah dengan beberapa jaringan tapi tetap aja netflixnya susah putar film . Tolong perbaiki jaringannya.
828,Rifqi Nurfadhillah,1,2020-10-08 00:39:47,"Aplikasi sangat komersil! Udah berlangganan bayar di tambah lg buat streaming filmnya butuh kuota lagi, jadi double pembayaran! Kemudian film"" terbaru pun tidak up date disini. Penginggat jatuh tempo berlanggan pun tidak ada. Jadi jika tidak ingin berlangganan lagi tetap langsung ke potong otomatis di rekening, bener"" curang Netflix! Secara tidak langsung ingin user berlangganan trs dan mencari keuntungan semata. Brengsek!"
829,ez,2,2020-10-07 23:38:55,"Pembayaranya harus pake kartu kredit ,gak semua orang punya kartu kredit, menyulitkan sekali,malas daftar.. Ubah pembayarannya lebih muda ,entah pake ovo ,alfa mart atau indomart.."
830,Davin Fad,1,2020-10-05 14:11:03,"Waktu itu saya pake indihome, habis itu ganti provider lain, kenapa film yg awalnya ada waktu saya pake indihome jadi gaada dan gabisa di play di provider yg baru? Ini ganggu bgt. Tolong fix netflix. Ada tulisan ""film ini tidak tersedia di negaramu"" masa gua harus pake vpn. Padahal uda kagak bisa. Tolong fix netflix banyak series yg tbtb hilang dan gabisa di play grgr ganti provider wifi"
